Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Vemuru (SC),89,ANANDA BABU NAKKA,Telugu Desam i,ASHOK BABU VARIKUTI,Yuvajana Sramika Rythu Congress Party i,22021,17/17,Result Declared
Venkatagiri,122,KURUGONDLA RAMAKRISHNA,Telugu Desam i,NEDURUMALLI RAM KUMAR REDDY,Yuvajana Sramika Rythu Congress Party i,16294,22/22,Result Declared
Vijayawada Central,80,BONDA UMAMAHESWARARAO,Telugu Desam i,VELAMPALLI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party i,68886,21/21,Result Declared
Vijayawada East,81,GADDE RAMA MOHAN,Telugu Desam i,AVINASH DEVINENI,Yuvajana Sramika Rythu Congress Party i,49640,23/23,Result Declared
Vijayawada West,79,YALAMANCHILI SATYANARAYANA CHOWDARY (SUJANA CHOWDARY),Bharatiya Janata Party i,ASIF SHAIK,Yuvajana Sramika Rythu Congress Party i,47032,20/20,Result Declared
Vinukonda,99,GONUGUNTLA VENKATA SIVA SITA RAMA ANZANNEYLLU,Telugu Desam i,BOLLA BRAHMA NAIDU,Yuvajana Sramika Rythu Congress Party i,30267,22/22,Result Declared
Visakhapatnam East,21,RAMAKRISHNA BABU VELAGAPUDI,Telugu Desam i,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party i,70877,22/22,Result Declared
Visakhapatnam North,23,VISHNU KUMAR RAJU PENMETSA,Bharatiya Janata Party i,KANNAPARAJU KAMMILA (K.K. RAJU),Yuvajana Sramika Rythu Congress Party i,47534,21/21,Result Declared
Visakhapatnam South,22,CH.VAMSI KRISHNA SRINIVAS,Janasena Party i,GANESH KUMAR VASUPALLI,Yuvajana Sramika Rythu Congress Party i,64594,17/17,Result Declared
Visakhapatnam West,24,P.G.V.R.NAIDU(GANABABU),Telugu Desam i,ADARI ANAND KUMAR,Yuvajana Sramika Rythu Congress Party i,35184,16/16,Result Declared
Vizianagaram,18,ADITI VIJAYALAKSHMI GAJAPATHI RAJU PUSAPATI,Telugu Desam i,KOLAGATLA VEERABHADRA SWAMY,Yuvajana Sramika Rythu Congress Party i,60609,20/20,Result Declared
Yelamanchili,32,SUNDARAPU VIJAY KUMAR,Janasena Party i,UPPALAPATI VENKATA RAMANAMURTHY RAJU,Yuvajana Sramika Rythu Congress Party i,48956,19/19,Result Declared
Yemmiganur,144,B. JAYANAGESWARA REDDY,Telugu Desam i,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party i,15837,20/20,Result Declared
Yerragondapalem (SC),102,CHANDRA SEKHAR TATIPARTHI,Yuvajana Sramika Rythu Congress Party i,ERIXION BABU GUDURI,Telugu Desam i,5200,19/19,Result Declared
